emoji,name,group,sub_group,codepoints,name_spanish,name_spanish_formatted
🧑🏿‍🚀,astronaut: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F680,astronauta  tono de piel oscura,[astronauta  tono de piel oscura]
👨‍🚀,man astronaut,People & Body,person-role,1F468 200D 1F680,hombre astronauta,[hombre astronauta]
👨🏻‍🚀,man astronaut: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F680,hombre astronauta  tono de piel clara,[hombre astronauta  tono de piel clara]
👨🏼‍🚀,man astronaut: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F680,hombre astronauta  tono de la piel de mediano luz,[hombre astronauta  tono de la piel de mediano luz]
👨🏽‍🚀,man astronaut: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F680,hombre astronauta  tono de piel medio,[hombre astronauta  tono de piel medio]
👨🏾‍🚀,man astronaut: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F680,hombre astronauta  tono de piel medio-oscuro,[hombre astronauta  tono de piel medio-oscuro]
👨🏿‍🚀,man astronaut: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F680,hombre astronauta  tono de piel oscura,[hombre astronauta  tono de piel oscura]
👩‍🚀,woman astronaut,People & Body,person-role,1F469 200D 1F680,astronauta de la mujer,[astronauta de la mujer]
👩🏻‍🚀,woman astronaut: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F680,astronauta de la mujer  tono de piel clara,[astronauta de la mujer  tono de piel clara]
👩🏼‍🚀,woman astronaut: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F680,astronauta de la mujer  el tono de piel medio-luz,[astronauta de la mujer  el tono de piel medio-luz]
👩🏽‍🚀,woman astronaut: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F680,astronauta de la mujer  tono de piel medio,[astronauta de la mujer  tono de piel medio]
👩🏾‍🚀,woman astronaut: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F680,astronauta de la mujer  el tono de piel medio-oscuro,[astronauta de la mujer  el tono de piel medio-oscuro]
👩🏿‍🚀,woman astronaut: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F680,astronauta de la mujer  tono de piel oscura,[astronauta de la mujer  tono de piel oscura]
🧑‍🚒,firefighter,People & Body,person-role,1F9D1 200D 1F692,bombero,[bombero]
🧑🏻‍🚒,firefighter: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F692,bombero  tono de piel clara,[bombero  tono de piel clara]
🧑🏼‍🚒,firefighter: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F692,tono de piel medio-luz  bombero,[tono de piel medio-luz  bombero]
🧑🏽‍🚒,firefighter: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F692,bombero  tono de piel medio,[bombero  tono de piel medio]
🧑🏾‍🚒,firefighter: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F692,bombero  tono de piel medio-oscuro,[bombero  tono de piel medio-oscuro]
🧑🏿‍🚒,firefighter: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F692,bombero  tono de piel oscura,[bombero  tono de piel oscura]
👨‍🚒,man firefighter,People & Body,person-role,1F468 200D 1F692,hombre bombero,[hombre bombero]
👨🏻‍🚒,man firefighter: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F692,hombre bombero  tono de piel clara,[hombre bombero  tono de piel clara]
👨🏼‍🚒,man firefighter: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F692,hombre bombero  tono de piel medio-luz,[hombre bombero  tono de piel medio-luz]
👨🏽‍🚒,man firefighter: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F692,hombre bombero  tono de piel medio,[hombre bombero  tono de piel medio]
👨🏾‍🚒,man firefighter: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F692,hombre bombero  tono de piel medio-oscuro,[hombre bombero  tono de piel medio-oscuro]
👨🏿‍🚒,man firefighter: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F692,hombre bombero  tono de piel oscura,[hombre bombero  tono de piel oscura]
👩‍🚒,woman firefighter,People & Body,person-role,1F469 200D 1F692,bombero de la mujer,[bombero de la mujer]
👩🏻‍🚒,woman firefighter: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F692,bombero de la mujer  tono de piel clara,[bombero de la mujer  tono de piel clara]
👩🏼‍🚒,woman firefighter: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F692,bombero de la mujer  el tono de piel medio-luz,[bombero de la mujer  el tono de piel medio-luz]
👩🏽‍🚒,woman firefighter: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F692,bombero de la mujer  tono de piel medio,[bombero de la mujer  tono de piel medio]
👩🏾‍🚒,woman firefighter: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F692,bombero de la mujer  el tono de piel medio-oscuro,[bombero de la mujer  el tono de piel medio-oscuro]
👩🏿‍🚒,woman firefighter: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F692,bombero de la mujer  tono de piel oscura,[bombero de la mujer  tono de piel oscura]
👮,police officer,People & Body,person-role,1F46E,oficial de policia,[oficial de policia]
👮🏻,police officer: light skin tone,People & Body,person-role,1F46E 1F3FB,oficial de policia  tono de piel clara,[oficial de policia  tono de piel clara]
👮🏼,police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC,oficial de policia  el tono de piel medio-luz,[oficial de policia  el tono de piel medio-luz]
👮🏽,police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD,oficial de policia  tono de piel medio,[oficial de policia  tono de piel medio]
👮🏾,police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE,oficial de policia  el tono de piel medio-oscuro,[oficial de policia  el tono de piel medio-oscuro]
👮🏿,police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF,oficial de policia  tono de piel oscura,[oficial de policia  tono de piel oscura]
👮‍♂️,man police officer,People & Body,person-role,1F46E 200D 2642 FE0F,hombre oficial de policia,[hombre oficial de policia]
👮‍♂,man police officer,People & Body,person-role,1F46E 200D 2642,hombre oficial de policia,[hombre oficial de policia]
👮🏻‍♂️,man police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2642 FE0F,hombre oficial de policia  tono de piel clara,[hombre oficial de policia  tono de piel clara]
👮🏻‍♂,man police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2642,hombre oficial de policia  tono de piel clara,[hombre oficial de policia  tono de piel clara]
👮🏼‍♂️,man police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2642 FE0F,hombre oficial de policia  el tono de piel medio-luz,[hombre oficial de policia  el tono de piel medio-luz]
👮🏼‍♂,man police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2642,hombre oficial de policia  el tono de piel medio-luz,[hombre oficial de policia  el tono de piel medio-luz]
👮🏽‍♂️,man police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2642 FE0F,hombre oficial de policia  tono de piel medio,[hombre oficial de policia  tono de piel medio]
👮🏽‍♂,man police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2642,hombre oficial de policia  tono de piel medio,[hombre oficial de policia  tono de piel medio]
👮🏾‍♂️,man police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2642 FE0F,hombre oficial de policia  el tono de piel medio-oscuro,[hombre oficial de policia  el tono de piel medio-oscuro]
👮🏾‍♂,man police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2642,hombre oficial de policia  el tono de piel medio-oscuro,[hombre oficial de policia  el tono de piel medio-oscuro]
👮🏿‍♂️,man police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2642 FE0F,hombre oficial de policia  tono de piel oscura,[hombre oficial de policia  tono de piel oscura]
👮🏿‍♂,man police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2642,hombre oficial de policia  tono de piel oscura,[hombre oficial de policia  tono de piel oscura]
👮‍♀️,woman police officer,People & Body,person-role,1F46E 200D 2640 FE0F,agente de policia,[agente de policia]
👮‍♀,woman police officer,People & Body,person-role,1F46E 200D 2640,agente de policia,[agente de policia]
👮🏻‍♀️,woman police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2640 FE0F,mujer oficial de policia  tono de piel clara,[mujer oficial de policia  tono de piel clara]
👮🏻‍♀,woman police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2640,mujer oficial de policia  tono de piel clara,[mujer oficial de policia  tono de piel clara]
👮🏼‍♀️,woman police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2640 FE0F,mujer oficial de policia  el tono de piel medio-luz,[mujer oficial de policia  el tono de piel medio-luz]
👮🏼‍♀,woman police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2640,mujer oficial de policia  el tono de piel medio-luz,[mujer oficial de policia  el tono de piel medio-luz]
👮🏽‍♀️,woman police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2640 FE0F,mujer oficial de policia  tono de piel medio,[mujer oficial de policia  tono de piel medio]
👮🏽‍♀,woman police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2640,mujer oficial de policia  tono de piel medio,[mujer oficial de policia  tono de piel medio]
👮🏾‍♀️,woman police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2640 FE0F,mujer oficial de policia  el tono de piel medio-oscuro,[mujer oficial de policia  el tono de piel medio-oscuro]
👮🏾‍♀,woman police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2640,mujer oficial de policia  el tono de piel medio-oscuro,[mujer oficial de policia  el tono de piel medio-oscuro]
👮🏿‍♀️,woman police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2640 FE0F,mujer oficial de policia  tono de piel oscura,[mujer oficial de policia  tono de piel oscura]
👮🏿‍♀,woman police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2640,mujer oficial de policia  tono de piel oscura,[mujer oficial de policia  tono de piel oscura]
🕵️,detective,People & Body,person-role,1F575 FE0F,detective,[detective]
🕵,detective,People & Body,person-role,1F575,detective,[detective]
🕵🏻,detective: light skin tone,People & Body,person-role,1F575 1F3FB,detective  tono de piel clara,[detective  tono de piel clara]
🕵🏼,detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC,tono de piel medio-luz  investigador,[tono de piel medio-luz  investigador]
🕵🏽,detective: medium skin tone,People & Body,person-role,1F575 1F3FD,detective  tono de piel medio,[detective  tono de piel medio]
🕵🏾,detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE,detective  tono de piel medio-oscuro,[detective  tono de piel medio-oscuro]
🕵🏿,detective: dark skin tone,People & Body,person-role,1F575 1F3FF,detective  tono de piel oscura,[detective  tono de piel oscura]
🕵️‍♂️,man detective,People & Body,person-role,1F575 FE0F 200D 2642 FE0F,detective de hombre,[detective de hombre]
🕵‍♂️,man detective,People & Body,person-role,1F575 200D 2642 FE0F,detective de hombre,[detective de hombre]
🕵️‍♂,man detective,People & Body,person-role,1F575 FE0F 200D 2642,detective de hombre,[detective de hombre]
🕵‍♂,man detective,People & Body,person-role,1F575 200D 2642,detective de hombre,[detective de hombre]
🕵🏻‍♂️,man detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2642 FE0F,detective de hombre  tono de piel clara,[detective de hombre  tono de piel clara]
🕵🏻‍♂,man detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2642,detective de hombre  tono de piel clara,[detective de hombre  tono de piel clara]
🕵🏼‍♂️,man detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2642 FE0F,detective de hombre  el tono de piel medio-luz,[detective de hombre  el tono de piel medio-luz]
🕵🏼‍♂,man detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2642,detective de hombre  el tono de piel medio-luz,[detective de hombre  el tono de piel medio-luz]
🕵🏽‍♂️,man detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2642 FE0F,detective de hombre  tono de piel medio,[detective de hombre  tono de piel medio]
🕵🏽‍♂,man detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2642,detective de hombre  tono de piel medio,[detective de hombre  tono de piel medio]
🕵🏾‍♂️,man detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2642 FE0F,detective de hombre  el tono de piel medio-oscuro,[detective de hombre  el tono de piel medio-oscuro]
🕵🏾‍♂,man detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2642,detective de hombre  el tono de piel medio-oscuro,[detective de hombre  el tono de piel medio-oscuro]
🕵🏿‍♂️,man detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2642 FE0F,detective de hombre  tono de piel oscura,[detective de hombre  tono de piel oscura]
🕵🏿‍♂,man detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2642,detective de hombre  tono de piel oscura,[detective de hombre  tono de piel oscura]
🕵️‍♀️,woman detective,People & Body,person-role,1F575 FE0F 200D 2640 FE0F,mujer detective,[mujer detective]
🕵‍♀️,woman detective,People & Body,person-role,1F575 200D 2640 FE0F,mujer detective,[mujer detective]
🕵️‍♀,woman detective,People & Body,person-role,1F575 FE0F 200D 2640,mujer detective,[mujer detective]
🕵‍♀,woman detective,People & Body,person-role,1F575 200D 2640,mujer detective,[mujer detective]
🕵🏻‍♀️,woman detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2640 FE0F,mujer detective  tono de piel clara,[mujer detective  tono de piel clara]
🕵🏻‍♀,woman detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2640,mujer detective  tono de piel clara,[mujer detective  tono de piel clara]
🕵🏼‍♀️,woman detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2640 FE0F,mujer detective  el tono de piel medio-luz,[mujer detective  el tono de piel medio-luz]
🕵🏼‍♀,woman detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2640,mujer detective  el tono de piel medio-luz,[mujer detective  el tono de piel medio-luz]
🕵🏽‍♀️,woman detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2640 FE0F,mujer detective  tono de piel medio,[mujer detective  tono de piel medio]
🕵🏽‍♀,woman detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2640,mujer detective  tono de piel medio,[mujer detective  tono de piel medio]
🕵🏾‍♀️,woman detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2640 FE0F,mujer detective  el tono de piel medio-oscuro,[mujer detective  el tono de piel medio-oscuro]
🕵🏾‍♀,woman detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2640,mujer detective  el tono de piel medio-oscuro,[mujer detective  el tono de piel medio-oscuro]
🕵🏿‍♀️,woman detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2640 FE0F,mujer detective  tono de piel oscura,[mujer detective  tono de piel oscura]
🕵🏿‍♀,woman detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2640,mujer detective  tono de piel oscura,[mujer detective  tono de piel oscura]
💂,guard,People & Body,person-role,1F482,guardia,[guardia]
💂🏻,guard: light skin tone,People & Body,person-role,1F482 1F3FB,guardia  tono de piel clara,[guardia  tono de piel clara]
💂🏼,guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC,tono de piel medio-luz  guardia,[tono de piel medio-luz  guardia]
💂🏽,guard: medium skin tone,People & Body,person-role,1F482 1F3FD,tono de piel medio  cubrimiento,[tono de piel medio  cubrimiento]
💂🏾,guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE,protegerse  tono de piel medio-oscuro,[protegerse  tono de piel medio-oscuro]
💂🏿,guard: dark skin tone,People & Body,person-role,1F482 1F3FF,tono de piel oscura  la guardia,[tono de piel oscura  la guardia]
